glpK_L228V__mmpL5_Y300!,mmpL5_A273G__Rv3249c_V83M,mmpL5_P445L,mmpL5_Y586!,Rv0678_L83P,Rv0678_R90C,Rv0678_L117R,Rv0678_274_indel,Rv1979c_247_indel,Rv1979c_R409Q,Rv3249c_A17A,LINEAGE,SITEID,UNIQUEID,PLATEDESIGN,LOG2MIC,UPLOG2MIC,cluster12,cluster25,cluster50,cluster100
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,site.10.subj.YA00053863.lab.YA00053863.iso.1,UKMYC5,-8.059999999999999,-4.06,3502,3502,1,128
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,site.08.subj.24TB00-051.lab.2355.iso.1,UKMYC6,-8.059999999999999,-5.06,2308,365,731,365
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20,site.20.subj.SA00200539.lab.YA00135086.iso.1,UKMYC6,-4.06,-3.06,355,130,57,832
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,site.10.subj.YA00125875.lab.YA00125875.iso.1,UKMYC6,-8.059999999999999,-5.06,3190,402,1614,345
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.LR-2192.lab.FN-01738-16.iso.1,UKMYC6,-8.059999999999999,-5.06,384,328,754,658
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,site.05.subj.LS-0936.lab.MA-02727-18.iso.1,UKMYC6,-5.06,-4.06,2566,548,831,1200
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,site.06.subj.JHL_0037-14.lab.06MIL0140.iso.1,UKMYC5,-8.059999999999999,-4.06,2591,1295,1295,1295
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,site.08.subj.05TB11101.lab.27699.iso.1,UKMYC5,-8.059999999999999,-4.06,4522,4522,4522,4522
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,site.04.subj.00362.lab.705315.iso.1,UKMYC5,-8.059999999999999,-4.06,10009,148,358,1177
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,site.08.subj.02TB1964.lab.23172.iso.1,UKMYC6,-5.06,-4.06,1738,2190,380,560
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,site.02.subj.0473.lab.235077-14.iso.1,UKMYC5,-3.06,-2.0,8353,8353,4176,4176
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,10,site.10.subj.YA00038900.lab.YA00038900.iso.1,UKMYC5,-3.06,-2.0,228,102,474,816
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,site.06.subj.JHL_0021-14.lab.06MIL0029.iso.1,UKMYC5,-8.059999999999999,-4.06,8290,8290,4144,4144
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,site.04.subj.00319.lab.702626.iso.1,UKMYC5,-8.059999999999999,-4.06,8324,8324,225,344
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.CA-1326.lab.CO-01806-19.iso.1,UKMYC6,-4.06,-3.06,4977,422,359,80
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.PTAN-0081.lab.TAN-251.iso.1,UKMYC5,-8.059999999999999,-4.06,9459,542,179,78
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,site.06.subj.06TB_0905.lab.06MIL1900.iso.1,UKMYC6,-3.06,-2.0,8233,8233,4116,4116
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,site.08.subj.02TB2115.lab.21921.iso.1,UKMYC6,-5.06,-4.06,134,2169,118,569
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,site.10.subj.TRL0023733.lab.TRL0023733.iso.1,UKMYC5,-4.06,-3.06,1465,1465,1465,116
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,site.02.subj.1122.lab.2014185041.iso.1,UKMYC5,-8.059999999999999,-4.06,6207,6207,6207,3103
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,site.08.subj.05TB31026.lab.1908.iso.1,UKMYC5,-3.06,-2.0,1763,3528,881,1764
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,site.06.subj.06TB_0258.lab.06MIL0719.iso.1,UKMYC5,-8.059999999999999,-4.06,9392,18,847,101
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20,site.20.subj.SCH8484826.lab.YA00132483.iso.1,UKMYC6,-5.06,-4.06,2598,97,1582,512
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,site.10.subj.YA00100092.lab.YA00100092.iso.1,UKMYC6,-4.06,-3.06,3691,3691,922,152
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,site.05.subj.LR-2019.lab.FN-00251-15.iso.1,UKMYC6,-8.059999999999999,-5.06,4848,302,1213,1213
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,site.02.subj.0289.lab.2014235036.iso.1,UKMYC5,-8.059999999999999,-4.06,7445,7445,3722,3722
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,site.04.subj.00060.lab.632099.iso.1,UKMYC5,-8.059999999999999,-4.06,8333,8333,4166,4166
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,site.10.subj.YA00025178.lab.YA00025178.iso.1,UKMYC5,-8.059999999999999,-4.06,4102,4102,285,503
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6,site.06.subj.JHL_0050-14.lab.06MIL0179.iso.1,UKMYC5,-4.06,-3.06,4676,137,275,552
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,site.10.subj.BC01299674.lab.BC01299674.iso.1,UKMYC5,-8.059999999999999,-4.06,86,2046,195,248
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.LS-0818.lab.MA-02454-18.iso.1,UKMYC6,-5.06,-4.06,282,1291,1291,645
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,site.03.subj.T5911.lab.IML-00081.iso.1,UKMYC6,-8.059999999999999,-5.06,6259,6259,6259,3129
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,site.04.subj.01412.lab.724657.iso.1,UKMYC5,-8.059999999999999,-4.06,6406,6406,6406,279
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.CA-1003.lab.CO-14616-18.iso.1,UKMYC6,-5.06,-4.06,10684,348,698,283
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,site.05.subj.PTAN-0326.lab.TAN-768.iso.1,UKMYC5,-8.059999999999999,-4.06,82,637,831,1200
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,site.03.subj.DR-237.lab.IML-01161.iso.1,UKMYC6,-5.06,-4.06,28,2105,358,1177
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20,site.20.subj.SA00459244.lab.YA00132998.iso.1,UKMYC6,-5.06,-4.06,249,54,8,512
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,site.06.subj.06TB_0644.lab.06MIL1528.iso.1,UKMYC6,-4.06,-3.06,5174,5174,5174,247
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,site.04.subj.00495.lab.705298.iso.1,UKMYC5,-8.059999999999999,-4.06,10455,5227,5227,2613
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,site.02.subj.0255.lab.2013232008.iso.1,UKMYC5,-8.059999999999999,-4.06,1181,1181,2364,819
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.PMFR-0721.lab.MFR-188.iso.1,UKMYC5,-8.059999999999999,-4.06,43,277,556,1182
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10,site.10.subj.YA00020045.lab.YA00020045.iso.1,UKMYC5,-8.059999999999999,-4.06,1189,1675,1675,1042
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,site.05.subj.PMFR-0739.lab.MFR-237.iso.1,UKMYC5,-8.059999999999999,-4.06,321,2144,1312,1200
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,site.05.subj.CA-0097.lab.CO-07177-18.iso.1,UKMYC6,-5.06,-4.06,82,637,831,1200
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,site.02.subj.0048.lab.2015232018.iso.1,UKMYC5,-4.06,-3.06,10623,5311,5311,2655
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.LS-0860.lab.LS-10586-18.iso.1,UKMYC6,-8.059999999999999,-5.06,3385,3385,3385,305
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,site.06.subj.13319.lab.06MIL2145.iso.1,UKMYC6,-5.06,-4.06,2419,763,403,211
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,site.03.subj.DS-55.lab.IML-01225.iso.1,UKMYC6,-5.06,-4.06,6754,6754,6754,18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,site.03.subj.KYRG-1101.lab.IML-02070.iso.1,UKMYC6,-8.059999999999999,-5.06,8634,8634,395,2141
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,site.03.subj.DR-47.lab.IML-01078.iso.1,UKMYC6,-5.06,-4.06,10363,2051,358,1177
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,10,site.10.subj.YA00024318.lab.YA00024318.iso.1,UKMYC6,-3.06,-2.0,322,543,474,816
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.LS-1630.lab.MA-02393-18.iso.1,UKMYC6,-5.06,-4.06,5776,5776,5776,458
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,site.02.subj.0934.lab.22A169.iso.1,UKMYC5,-4.06,-3.06,10,120,821,1643
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.CA-1246.lab.CO-13934-18.iso.1,UKMYC6,-5.06,-4.06,8908,38,632,525
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,site.04.subj.00939.lab.713352.iso.1,UKMYC5,-4.06,-3.06,10629,461,427,1237
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,site.02.subj.1082.lab.2014184064.iso.1,UKMYC5,-8.059999999999999,-4.06,1219,1498,1498,232
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,site.10.subj.YA00023527.lab.YA00023527.iso.1,UKMYC5,-8.059999999999999,-4.06,744,744,2982,37
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,site.06.subj.06TB_1085.lab.06MIL2205.iso.1,UKMYC6,-5.06,-4.06,7802,7802,3900,3900
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,site.08.subj.24TB-074.lab.2208.iso.1,UKMYC5,-8.059999999999999,-4.06,10385,5192,5192,1297
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,site.03.subj.DS-25.lab.IML-01228.iso.1,UKMYC6,-5.06,-4.06,9371,4685,4685,4685
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,site.08.subj.02TB2426.lab.26198.iso.1,UKMYC5,-4.06,-3.06,3727,3727,258,517
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,site.06.subj.06TB_0265.lab.06MIL0856.iso.1,UKMYC5,-8.059999999999999,-4.06,139,444,289,2325
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,site.02.subj.0667.lab.2014241187.iso.1,UKMYC5,-4.06,-3.06,2601,649,1353,1353
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,site.02.subj.1023.lab.2013184037.iso.1,UKMYC5,-8.059999999999999,-4.06,9707,4853,4853,4853
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.CA-0916.lab.CO-15381-18.iso.1,UKMYC6,-8.059999999999999,-5.06,987,2204,1182,978
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,site.06.subj.06TB_0881.lab.06MIL1876.iso.1,UKMYC6,-5.06,-4.06,3108,3108,3108,3108
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.LS-0490.lab.LS-08654-18.iso.1,UKMYC6,-8.059999999999999,-5.06,1334,781,1564,28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,site.02.subj.1087.lab.2014185005.iso.1,UKMYC5,-8.059999999999999,-4.06,1720,3442,3442,294
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,site.03.subj.GB-83540075.lab.83540075.iso.1,UKMYC6,-5.06,-4.06,9987,4993,4993,38
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,site.04.subj.00336.lab.702098.iso.1,UKMYC5,-8.059999999999999,-4.06,2403,960,225,344
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,site.03.subj.GB-84160003.lab.IML-02016.iso.1,UKMYC6,-8.059999999999999,-5.06,1423,367,79,219
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6,site.06.subj.ATH_0088-14.lab.06MIL0309.iso.1,UKMYC5,-8.059999999999999,-4.06,6894,6894,6894,34
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,site.08.subj.02TB2684.lab.26446.iso.1,UKMYC5,-8.059999999999999,-4.06,4044,8090,2021,2021
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,site.03.subj.GB-83020044.lab.83020044.iso.1,UKMYC6,-8.059999999999999,-5.06,5788,5788,5788,412
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.PTAN-0401.lab.TAN-670.iso.1,UKMYC5,-8.059999999999999,-4.06,2825,2825,2825,1128
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,site.03.subj.GB-90640003.lab.IML-01895.iso.1,UKMYC6,-8.059999999999999,-5.06,5927,5927,5927,2963
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,site.02.subj.0370.lab.222044-14.iso.1,UKMYC5,-4.06,-3.06,8872,4435,4435,4435
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,site.05.subj.LS-1315.lab.LS-01120-19.iso.1,UKMYC6,-5.06,-4.06,199,486,831,1200
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.PTAN-0487.lab.TAN-800.iso.1,UKMYC5,-8.059999999999999,-4.06,257,1032,1031,1031
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,site.04.subj.00095.lab.632984.iso.1,UKMYC5,-8.059999999999999,-4.06,681,2150,591,4806
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,site.02.subj.0611.lab.241008-14.iso.1,UKMYC5,-8.059999999999999,-4.06,1747,1747,1747,1747
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,site.04.subj.01352.lab.721686.iso.1,UKMYC5,-8.059999999999999,-4.06,7197,748,672,1345
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,10,site.10.subj.XD02743224.lab.XD02743224.iso.1,UKMYC6,-3.06,-2.0,2538,1074,203,816
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,site.04.subj.00809.lab.715869.iso.1,UKMYC5,-4.06,-3.06,9583,4791,4791,4791
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.LR-2338.lab.FN-01488-18.iso.1,UKMYC6,-8.059999999999999,-5.06,126,511,94,221
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.PTAN-0142.lab.TAN-423.iso.1,UKMYC5,-8.059999999999999,-4.06,1202,1034,563,2258
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.LS-0815.lab.MA-06797-18.iso.1,UKMYC6,-5.06,-4.06,2661,2662,2662,12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.LS-1054.lab.MA-02460-18.iso.1,UKMYC6,-5.06,-4.06,466,934,161,20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,site.04.subj.01292.lab.719075.iso.1,UKMYC5,-8.059999999999999,-4.06,3389,3389,3389,3389
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.PTAN-0169.lab.TAN-506.iso.1,UKMYC5,-4.06,-3.06,9198,270,124,468
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.PSLM-0762.lab.SLM-015.iso.1,UKMYC5,-8.059999999999999,-4.06,1776,3554,38,836
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,site.10.subj.YA00071172.lab.YA00071172.iso.1,UKMYC5,-8.059999999999999,-4.06,1914,1914,186,986
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,site.03.subj.T8255.lab.IML00151.iso.1,UKMYC6,-5.06,-4.06,8015,8015,4007,4007
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,site.04.subj.00827.lab.707875.iso.1,UKMYC5,-8.059999999999999,-4.06,32,12,358,1177
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.PTAN-0092.lab.TAN-273.iso.1,UKMYC5,-8.059999999999999,-4.06,312,625,625,861
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,site.05.subj.PTAN-0156.lab.TAN-464.iso.1,UKMYC5,-4.06,-3.06,4447,63,1312,1200
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6,site.06.subj.MHL_0218-14.lab.06MIL0316.iso.1,UKMYC5,-8.059999999999999,-4.06,711,1423,1423,711
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,site.03.subj.KGZ-13420-2018.lab.13420-2018.iso.1,UKMYC6,-8.059999999999999,-5.06,7636,7636,395,2141
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,site.04.subj.00558.lab.706145.iso.1,UKMYC5,-4.06,-3.06,328,959,591,4806
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.LR-2381.lab.FN-02108-16.iso.1,UKMYC6,-8.059999999999999,-5.06,9586,341,93,1022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,site.03.subj.10531.lab.IML-01050.iso.1,UKMYC6,-5.06,-4.06,2349,407,3268,1633
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,site.03.subj.T4475.lab.IML-00058.iso.1,UKMYC6,-5.06,-4.06,8976,492,44,611
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,site.04.subj.01216.lab.721760.iso.1,UKMYC5,-8.059999999999999,-4.06,9056,2263,2263,2263
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.PTAN-0199.lab.TAN-115.iso.1,UKMYC5,-4.06,-3.06,3200,3200,40,139
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.CA-1465.lab.CO-03196-19.iso.1,UKMYC6,-4.06,-3.06,1529,414,1366,1061
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.LS-1243.lab.SJ-00838-19.iso.1,UKMYC6,-8.059999999999999,-5.06,3837,3837,792,305
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,site.02.subj.0127.lab.22A082.iso.1,UKMYC5,-4.06,-3.06,5,711,621,1244
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,site.04.subj.01337.lab.725665.iso.1,UKMYC5,-8.059999999999999,-4.06,9187,4593,4593,4593
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,site.06.subj.SSM_0102-14.lab.06MIL0010.iso.1,UKMYC5,-8.059999999999999,-4.06,7337,7337,3668,3668
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,site.06.subj.06TB_0946.lab.06MIL1941.iso.1,UKMYC6,-5.06,-4.06,311,612,713,713
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,site.04.subj.01377.lab.727386.iso.1,UKMYC5,-8.059999999999999,-4.06,6600,6600,6600,34
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10,site.10.subj.YA00106960.lab.YA00106960.iso.1,UKMYC6,-4.06,-3.06,1211,2060,100,1186
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.CA-0089.lab.CO-07278-18.iso.1,UKMYC6,-4.06,-3.06,3506,3506,371,213
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,site.02.subj.0790.lab.2013232253.iso.1,UKMYC5,-8.059999999999999,-4.06,6929,6929,6929,3464
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,site.05.subj.CA-1225.lab.CO-00953-19.iso.1,UKMYC6,-5.06,-4.06,6538,6538,6538,28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,site.02.subj.0151.lab.2013232055.iso.1,UKMYC5,-8.059999999999999,-4.06,7199,7199,3599,3599
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,site.10.subj.YA00106059.lab.YA00106059.iso.1,UKMYC6,-8.059999999999999,-5.06,8552,8552,2137,2137
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,site.03.subj.BOR-18006798.lab.IML-00186.iso.1,UKMYC6,-5.06,-4.06,9529,1028,394,211
